emoji,count
🍼,4
🐶,10
😍,11
✈,2
🐳,1
💖,374
🐾,13
👡,1
💓,2
🎧,2
💎,53
🧡,1
🚨,8
😿,300
🏰,1
📡,4
🎩,1
🐻,14
🌹,29
🌎,3
🍤,2
👇,2
🍉,1
🌅,1
💗,2
<built-in function sum>,3922
👓,1
🐣,8
💒,6
💿,6
☕,10
💦,10
👫,3
👶,9
🙆,1
🎄,13
🤘,1
⚡,4
👱,15
✔,3
💞,2
💙,242
🐽,1
🥓,2
👴,1
🙋,3
☠,1
👩,6
🐓,7
🎵,2
🌸,43
🎂,1
🎅,7
🙏,8
💃,5
☃,4
👖,1
🌦,1
😹,1
〰,1
🖤,48
🤟,1
💥,14
👭,1
📷,3
📞,1
💍,16
😜,3
🏳,2
💧,5
🎁,3
🐎,3
🍚,1
🌷,8
🍝,4
🍗,1
🎶,7
👅,69
🌾,3
🌍,4
❗,4
🐙,3
🎉,25
🍁,3
🌕,1
🔮,5
💉,3
👀,11
🎃,5
😝,1
😭,2
💝,5
👏,10
❤,443
🚀,9
😶,1
✒,1
👧,3
🍰,2
🍍,3
🙊,7
👘,2
🍔,4
💸,1
🌗,3
🎨,3
🌀,7
🌊,125
🎤,9
😱,6
☮,6
🍬,5
🍒,1
🎊,1
👣,1
💲,20
👊,6
🎸,9
😁,4
💅,2
💇,2
®,2
😈,5
🌳,7
🍩,8
🤧,1
🐬,2
🍕,17
✂,5
🍻,3
💺,1
😻,32
⚪,1
🦄,2
❄,1
🍥,1
©,1
🔊,6
😬,6
🍜,2
🏡,1
🌝,3
👑,13
👂,2
🦁,1
🎀,7
♀,4
💁,1
🎈,10
🐴,2
🌏,1
🙈,4
🐷,21
💛,128
👯,4
👹,3
💕,80
🐑,3
👄,6
😷,6
🌺,17
🍛,1
✌,39
🐭,1
😂,2
🏄,3
😇,1
🍫,1
📸,9
😸,3
🔌,1
👬,1
👻,8
😎,2
👉,1
😩,1
😉,1
🍂,1
🚿,2
🔝,2
▶,1
💐,4
💣,3
🛍,2
🔥,25
👋,2
👽,44
🍟,4
🕺,1
💜,100
✨,10
🌌,4
™,1
📻,1
📀,4
🚣,2
🍞,2
💔,238
🐸,1
💯,2
👢,3
♥,1
🌙,1
🍳,10
💩,13
👍,19
🐱,1
😘,5
🐰,23
⚠,1
😋,1
✅,23
🙌,16
👦,2
🐼,7
😊,1
💵,1
🐵,3
‼,2
🙅,1
📱,3
☀,1
🌽,1
🦋,1
📙,2
⛪,1
🏖,1
💨,12
✋,1
⬛,2
👜,5
🐮,1
💘,3
🍄,6
🌈,198
💪,2
🎥,1
🐔,5
🌻,38
💫,1
🐯,4
🍦,16
🌟,5
🙀,8
🍧,2
🌞,1
🍣,1
🌴,4
💋,78
🐄,2
🌼,13
🍸,1
👝,1
💀,16
⭐,2
🐨,1
🐥,8
🚌,1
👼,6
🍭,3
👨,1
🖊,1
💄,11
👸,15
💰,2
💚,117
