emoji,count
😍,156
🔊,1
😬,1
💖,13
💓,2
😽,1
🎅,1
🚨,2
😿,1
🌙,2
🎈,2
😡,2
🤗,1
🌎,1
🙈,15
🐷,3
💛,2
🤪,1
💗,2
<built-in function sum>,1374
💕,31
♥,5
🥰,5
☕,1
🌧,4
😂,7
😥,2
❣,1
👋,2
🎄,1
🥜,1
😄,1
🤘,14
👻,1
✔,8
😎,1
💞,15
🍄,1
📺,3
👉,2
🤠,1
😉,6
👩,4
▶,3
📷,3
🌂,1
💫,2
⭐,4
🙏,85
👽,2
‼,2
💜,2
🤔,1
👎,1
😓,1
💥,8
😆,3
🎤,3
😜,5
🏳,1
👏,24
💔,6
🧀,1
🤟,7
💚,1
🐇,1
😘,31
🚫,1
🎶,1
🔥,29
🕺,2
✨,3
🎉,8
🐰,1
✊,8
🐹,2
🍵,1
👀,3
🎩,2
✌,4
😭,18
💝,1
👸,1
❤,646
💏,1
⚡,9
💙,5
✋,1
🌟,3
🎥,2
🚽,2
💘,1
🌈,2
😳,10
👍,6
⛄,1
😊,2
☺,1
💃,9
😱,2
❄,1
🙄,1
🙀,1
🍉,1
🐴,1
🤩,1
🎊,2
💋,10
👊,4
😢,3
🙋,1
😔,1
💅,1
💯,1
🙌,11
🌞,1
💪,6
🏆,2
😃,4
😏,1
😻,2
⏰,1
🦄,1
😁,4
