emoji,count
🐫,1
✈,5
😍,50
💖,55
🐾,1
😮,3
💓,5
🎹,2
💎,1
🌸,37
🎶,7
🚨,2
🛀,1
🤓,10
👒,27
😘,46
🎩,4
🐻,4
🌹,20
🌲,1
🙊,7
🍉,1
🌅,3
💗,23
<built-in function sum>,2268
🐣,2
🐘,2
☝,1
🎈,4
🐢,1
⛵,1
👶,1
👋,4
🎄,11
👡,1
😋,1
💙,29
🏀,14
✔,4
💞,6
🆙,1
📺,1
🥓,1
😽,1
🙋,2
🎂,12
🎅,1
🙏,6
🎲,1
🚴,3
😹,8
〰,2
👌,2
🌱,1
💳,2
🦁,1
👗,9
⛷,1
🦃,3
👭,2
🎤,2
💍,3
😜,56
👏,42
🥞,1
🎁,5
👙,13
😴,1
👄,2
🍎,54
☑,1
♀,11
🦋,24
👅,1
🌾,1
🔥,50
🕊,7
🎉,45
🐱,2
⬇,2
🎬,1
👀,3
🎃,7
☔,3
😭,2
💝,5
💥,5
❄,1
👨,1
🚀,2
🍡,2
🤔,4
⛄,1
🐒,2
☀,16
📹,4
🍔,7
🧝,1
❓,3
🎨,9
🎟,2
🌊,4
📷,31
🙄,1
🍬,2
☕,9
🍒,1
🍃,4
🎊,3
💲,1
🐯,9
😢,2
😁,2
💅,7
🔔,1
😈,1
✏,3
☁,2
💪,6
🐬,2
🍕,1
💕,73
🍦,4
🦌,1
😻,5
🦄,4
🌎,2
💔,2
🔊,1
😬,2
🕶,1
👛,14
🎰,2
☘,3
🎆,1
🎀,59
🎫,1
💁,7
🏵,3
❤,303
🙈,7
😱,2
💛,20
🌷,8
👯,27
💇,6
➡,5
😏,2
🐑,1
🐇,1
☄,2
⭐,20
🌺,30
👈,1
😇,1
😂,46
🏄,1
🐭,3
🔁,2
👬,2
🆕,1
🎻,2
🏉,3
👻,5
😎,7
🐍,3
🌟,6
🐝,1
😉,76
🌿,2
👩,1
▶,3
💐,3
🌂,2
💫,5
🍴,2
👽,3
🌴,6
💜,70
🍀,13
👟,1
🙃,3
🤷,3
👸,4
💃,30
♠,1
🕓,1
👑,4
💯,1
👠,59
♥,7
🍳,1
✨,48
🎸,2
🐠,22
🐖,1
🐰,2
📝,1
👼,1
📢,1
💟,1
😊,39
💋,39
🍩,3
🙅,1
🐶,3
🧚,1
🍏,11
👱,1
🎭,2
🏖,4
🏈,3
✋,1
🖤,7
💘,8
🌈,14
🚗,1
😳,5
👍,5
🎥,2
✂,2
😺,1
🍇,1
📸,5
🍽,1
🔜,1
👉,5
🚙,1
🥀,2
🌞,1
💭,2
📚,2
👰,1
🗝,2
✌,5
🌼,2
🛍,3
☃,1
💄,8
🌙,1
☺,5
🏝,2
🙌,5
🎷,1
🍭,3
😃,6
😛,1
🎧,1
💚,10
