emoji,count
🎙,1
🍺,1
😀,1
🤟,1
😍,6
😬,26
💖,1
😮,5
👮,1
🚨,2
🤓,1
♀,75
💁,73
👢,1
🎆,3
🛏,1
❤,174
🌲,1
😯,1
🙈,2
😧,1
💛,3
😴,2
📖,2
💕,6
💿,4
😷,1
🎈,8
🥰,1
😂,215
👶,1
👋,2
🎄,7
👊,5
💃,6
🏈,1
🌻,1
👉,18
🤠,1
🙋,1
👩,1
🍷,12
🐣,1
🐓,1
🎂,6
🎅,11
🙏,9
🎸,1
😕,1
👌,3
🤔,1
👎,1
📦,1
🤷,2
👸,1
💰,1
🦃,2
😆,5
🎤,9
😜,141
👏,41
💔,1
😞,1
👑,1
🎁,7
😌,1
🔫,1
🐇,1
🥊,1
👰,1
😩,27
💩,4
🙃,1
🔥,41
🕺,1
😘,1
🎉,187
🐰,1
🚓,1
😊,210
🎓,1
✌,5
🙅,2
😭,12
💝,1
🐶,1
🚀,3
😐,8
💤,2
⚡,1
😎,30
✨,78
🌏,2
🖤,2
☀,1
🌈,3
🌮,1
😳,35
👍,14
⛄,2
👀,9
💫,3
📷,1
😱,5
🤣,267
🌟,3
🙄,4
🐝,2
🎊,1
👣,1
🙂,2
😉,10
😔,2
<built-in function sum>,2020
®,1
🙌,86
💪,1
😃,1
🦄,1
🤯,1
😏,2
🎾,3
🎧,3
🎶,3
❄,1
