emoji,count
🍺,1
✈,2
🐶,2
😍,38
🕶,2
🍼,2
💖,29
🐾,13
💓,2
😑,1
💎,11
🌸,12
🎶,38
🚨,5
🤓,3
👒,1
😘,23
🎩,3
🌹,9
🤗,12
🙊,1
🐛,6
🍤,1
🍾,14
💗,33
🤦,1
👓,2
🐣,3
⭐,2
💦,3
👫,4
❣,2
📸,5
👋,1
🎄,12
🍓,1
😄,4
🤘,23
💞,9
💙,3
🐽,2
👉,1
🎹,4
🍷,5
🎂,7
🎅,1
🙏,56
🏀,1
🍕,1
📓,1
👌,1
🌱,3
🎣,1
🐥,1
💥,18
👭,2
🎤,38
📞,1
😜,3
🏳,3
🤳,1
💊,1
🙉,1
🎁,7
👙,2
🔫,3
🍝,3
👐,1
😩,2
👅,4
🌾,1
🔥,19
💁,1
🎉,38
🎷,3
🎬,1
💉,2
👀,5
🕵,1
🎃,4
😝,1
😭,30
💝,4
👏,10
🍡,1
🍰,4
⚡,19
💚,5
⛄,4
🌑,1
🔮,1
🤑,2
🚒,1
🎨,4
🏍,1
📷,2
🏆,3
🤣,1
☕,4
🐴,1
🍃,1
🎊,2
👊,3
🙇,1
📲,1
😁,3
😔,1
💅,3
<built-in function sum>,1762
😈,11
✏,1
👇,1
💪,10
💧,1
✂,1
🎼,5
📽,1
🦄,1
🌎,15
🗡,2
☠,4
🎺,13
👛,1
🎀,1
♀,7
💫,7
🎈,3
❤,271
🌏,4
🙈,2
💭,1
💛,6
🌷,3
👯,9
💇,1
➡,3
💕,45
👄,6
☄,1
😵,1
😇,17
😂,25
🏃,1
👬,2
👁,1
🤤,1
😎,9
🌟,62
🤠,1
😉,3
🦎,1
👩,2
💐,1
💣,3
⚾,7
🍟,1
💜,10
😆,2
🙃,1
😅,1
🤷,1
💃,8
🖕,1
💔,8
🌩,1
👑,11
🌪,8
😌,1
👠,11
♥,1
💀,11
🎸,14
✨,13
🐰,3
😋,1
✅,1
🙌,8
😽,2
🔪,23
🌳,5
😊,19
💋,99
☀,8
👻,5
🧚,3
📰,1
🦋,2
👱,1
🏈,8
✋,2
🍯,1
🖤,10
🚁,1
💘,5
🌈,10
🐩,1
👍,4
🎥,10
📹,1
🎿,1
🍻,8
❄,3
🌊,1
🚙,1
🥀,1
🌞,2
🚘,1
🌴,3
✌,64
🌼,1
🍸,5
🐚,2
🎧,1
☺,11
👼,4
🍣,1
🍔,1
🛑,1
🚗,2
🚬,20
💄,10
📱,2
💯,1
