emoji,count
💔,2
👑,4
🎁,1
😌,1
😍,12
🔫,11
👄,1
<built-in function sum>,264
🦁,1
💓,2
😽,1
💎,1
🔥,15
😘,1
🎉,3
🔑,1
✊,2
♀,4
🙌,18
❤,4
🤗,1
🌎,1
🙈,1
👀,6
😱,1
💛,1
💋,14
💗,1
🎱,1
➡,1
😏,1
🖖,2
🍑,1
💝,1
💿,1
🎈,23
🥰,1
🍋,1
😂,7
⚡,1
💙,2
❣,2
😫,3
🖤,3
🍓,1
☀,2
💘,3
⬅,1
😳,1
💰,5
🌝,1
🎨,1
💜,1
😊,2
👉,1
😩,1
😉,2
🤚,1
💕,2
❄,2
☺,1
🎂,1
👸,2
🙏,9
👊,1
💃,3
💪,9
😢,2
📓,1
😁,1
🔨,1
💅,10
🆙,1
✨,3
😈,1
✏,1
🤷,4
💥,1
📀,1
😎,1
⚓,12
😜,1
👏,6
💚,2
