emoji,count
✈,1
😀,2
🔹,1
😍,54
😬,1
💖,16
🧟,1
💓,4
🙌,12
💎,4
🔙,1
🚨,3
♂,1
🎀,1
💁,1
👙,1
😡,1
🌹,1
🌑,1
🙈,2
💛,8
👠,1
📲,1
<built-in function sum>,745
👟,2
💕,9
🍑,8
💿,1
🐺,5
🎈,2
😇,2
😂,23
💌,2
❣,2
📸,1
🎄,2
😄,3
😋,4
👻,1
😎,4
💞,3
🌻,1
👉,2
🙋,3
👯,3
🎵,1
🌸,1
💫,2
🍿,1
🙏,19
🎟,2
💜,74
😕,1
✨,6
✳,1
💥,2
👼,1
🎤,1
🧛,2
😜,4
👏,1
🎁,1
😌,1
🔫,1
♥,10
🍎,1
😒,5
🚢,2
🎶,15
🔥,9
😘,16
🎉,12
🎬,1
😚,4
✅,3
😴,1
😊,8
💋,24
🆘,1
😝,3
😭,13
❤,80
💙,24
✋,1
⬛,1
🚗,2
😳,2
👍,7
🎥,2
📷,7
👀,3
☺,106
💃,5
🌟,3
🍒,2
✌,3
💗,7
😆,1
😔,3
💯,2
🌋,1
😈,2
💪,2
😃,1
😛,1
😏,12
😻,1
💚,2
🎧,4
😁,6
