emoji,count
🎙,1
✈,1
😍,9
☠,1
💖,3
🐾,2
⏳,1
💓,3
🙌,45
📣,2
🧡,6
🎆,1
🌪,1
💃,1
🎫,2
💁,2
🔭,1
❤,58
🌹,2
🤗,3
🌗,1
😱,2
💛,8
😴,1
💗,8
<built-in function sum>,728
☁,1
💕,6
♥,19
🌧,1
⭐,15
🌺,2
🦇,1
👫,1
🥰,1
😂,5
💌,2
❣,12
📸,1
🎄,2
🔌,1
👁,1
⛓,1
💟,2
👻,1
✔,1
💨,2
💞,14
💙,3
📺,3
🌟,12
🤠,1
🙋,1
👩,2
✖,10
🕯,2
▶,2
📷,2
🌸,2
💫,6
👅,2
🙏,9
🏀,1
🛸,3
👖,1
👌,1
💳,1
🦁,1
🥂,1
💥,8
🚈,1
👭,1
💜,6
🎤,8
😜,1
👏,44
💔,1
👑,9
🗽,2
🌷,1
👄,2
👈,1
😒,2
🎶,11
✨,32
🙃,2
🔥,16
😘,21
🎉,2
🌌,1
🏎,2
🌈,3
😚,2
🧞,1
👧,2
👦,1
♀,4
👀,4
🎓,1
🍸,1
📈,1
🍩,1
📱,1
😭,4
⌚,1
🐻,2
🍏,1
🍭,1
⏱,1
❌,3
⚡,5
🏈,1
🤔,2
🖤,54
🎨,2
☀,1
🔮,1
😳,1
💪,9
🎥,3
🌓,1
❓,1
🎈,3
🦊,1
🍾,1
🎁,1
👉,1
🏴,2
☕,1
💭,1
👸,5
💋,64
👊,1
💦,1
👯,1
🏅,1
👜,1
♠,1
☺,1
🌬,2
😈,3
👓,1
🚨,4
🏆,2
😏,3
🎼,2
🤣,1
😻,1
💚,2
👇,3
🦄,3
❄,1
