emoji,count
✈,1
😀,1
😍,2
🔊,29
🤕,5
💖,1
👑,3
♂,54
🎀,1
😨,1
🚖,1
❗,6
😵,6
😡,16
🍰,2
🌏,4
😯,2
🍾,45
🤪,1
🤨,92
<built-in function sum>,1674
➡,7
🎂,7
🍑,2
💿,2
🎈,6
💦,7
😏,13
😂,129
🍫,1
🏃,8
🎄,1
🎊,8
😋,1
😠,5
🅰,1
🏈,13
📺,2
💀,8
😉,7
🍷,1
🐓,2
💣,8
⭐,8
⚾,4
🙏,11
🏀,4
‼,2
😕,5
👌,4
🤔,27
✨,1
🥂,5
™,1
💥,63
🍪,5
😆,178
🖕,1
🤮,1
😜,1
👏,3
💔,1
🐸,12
🗽,6
😴,1
🤭,6
🥊,1
😒,10
😩,4
🔝,1
🔥,359
🕺,1
😘,2
🎉,15
✊,1
😟,10
🤦,24
🎬,2
🙌,2
💉,1
👀,70
💵,15
💋,3
🤷,26
😝,3
😭,5
🐐,1
❤,9
💨,29
✋,1
👳,1
🕎,1
😤,4
🧐,2
🌎,4
😳,60
💰,9
🎥,10
🌊,1
👵,1
😎,7
💫,1
📸,5
🏆,6
🤣,7
🎁,4
🎯,1
🐱,4
💍,1
👆,3
👊,7
😢,2
🙋,1
😔,2
☺,2
🥃,1
😈,5
💪,5
🍭,2
🤫,4
☕,12
🔫,41
💯,1
