emoji,count
😍,5
😬,1
😮,1
🦍,1
🚨,25
🕊,1
☝,2
😡,1
🍰,1
🤗,1
😯,1
🚀,5
🍤,4
🍾,44
🤪,2
<built-in function sum>,864
🎂,1
🥭,1
🎈,1
😏,10
😂,90
👆,3
🎄,1
🍓,6
😄,1
🤘,6
👻,2
😎,38
🎶,35
😉,5
🥥,1
▶,1
🎵,1
👍,3
🙏,19
🤐,1
🎸,1
🕺,4
👌,1
🤔,13
✨,69
🥂,30
💥,108
💜,2
💃,6
😜,17
👏,18
😞,4
👑,9
🕶,3
😌,1
😴,2
♥,4
😒,19
😩,4
🔥,42
🌙,3
😘,4
🎉,2
✊,3
😋,1
😚,1
😫,1
👀,2
💋,2
🎃,2
😭,15
❤,37
🤙,6
🚂,1
🌮,5
😳,3
💰,2
🍣,1
🎥,1
🐉,1
😊,5
🏹,9
👇,2
☮,1
❄,1
🌞,1
🤠,1
✌,1
😢,3
🍸,1
😆,2
💀,4
💅,1
☺,1
🙌,37
💪,2
🌯,6
😃,1
🍕,4
🤯,1
🤫,1
🎼,2
🤣,2
🦄,2
😁,2
