emoji,count
😀,1
😍,4
♻,1
🛤,1
🐾,3
😮,5
😑,1
🆓,1
🚨,18
♂,4
🅿,1
😱,1
🍨,1
👨,2
🌹,18
👇,3
<built-in function sum>,575
👟,2
💫,9
♥,38
📌,1
🐺,1
😵,9
🎂,2
🍫,1
🏃,2
🙍,1
🤤,1
💣,2
💨,1
🍄,1
🌒,1
👉,1
🦋,1
😉,3
👩,1
🔴,2
🎵,2
👍,7
⭐,1
⚾,2
🙏,43
🤐,2
🎸,1
👻,1
🤝,4
🎟,1
👌,26
🔒,1
🤔,3
🏟,1
👎,4
🥂,1
👞,1
🤷,2
💥,18
🍪,1
🆒,1
💍,1
👏,33
💔,1
🙉,1
🎁,1
😌,1
🤸,2
☑,1
🥊,2
🎶,2
🔥,9
✨,31
🎉,1
⚠,1
💡,1
📝,1
✅,1
🙌,3
👦,2
👀,1
✌,3
🏆,7
🏌,1
🐶,1
❤,16
🚀,3
😐,1
💤,1
⚡,111
🌈,1
🐩,1
🌀,2
🌊,23
🏹,1
🍾,1
🌟,1
🙄,1
🍬,2
🎯,1
🤠,1
💋,1
🙂,1
🌠,1
😁,1
💀,15
☺,1
😈,1
🍩,1
🍭,1
😃,1
🤳,1
🚗,1
🎼,3
🎧,1
⛰,1
❄,1
