emoji,count
🔹,3
😍,28
🔊,3
😬,2
🍜,2
😮,1
🌸,14
🎶,9
🦁,2
🤓,1
💁,1
😵,1
❤,519
🌹,4
🤗,3
🙈,1
😱,4
💗,2
<built-in function sum>,1192
➡,2
💕,13
🙆,50
💿,2
🙅,1
😂,10
😥,1
👋,1
🎄,6
🍓,1
😄,1
🤘,18
💃,1
😎,4
👉,4
🤠,1
🙋,1
👍,7
⭐,1
🙏,2
🌍,2
😕,1
👌,1
💫,1
🚨,9
☃,1
💥,5
🎤,5
📣,2
👏,14
♥,3
🥊,1
😩,3
👎,3
🔥,12
✨,13
🎉,9
💡,3
🗣,1
🌺,2
😊,179
⚽,1
😭,3
⚡,4
💙,17
🖤,6
🐒,1
☀,1
😳,1
☝,1
🎿,1
👀,2
🍣,2
📷,2
👇,1
🤣,1
🌟,1
🙀,1
🌞,1
💭,1
🎊,1
🌴,1
🌵,1
👊,1
🌠,1
🎸,101
👯,1
😉,4
💤,2
☺,5
🙌,12
💪,1
🏆,3
😃,2
💧,1
😻,2
💚,4
😁,4
