emoji,count
😍,12
🔊,2
💖,5
😽,5
💎,1
🧡,1
🦁,1
♂,1
🐕,1
😷,1
💫,2
🙅,1
❤,25
🌹,1
🙈,6
🍾,3
💛,1
☠,1
💗,2
<built-in function sum>,379
🐣,1
♥,10
😏,4
🥳,1
☝,1
😂,11
🙏,2
😄,1
🤘,3
👻,8
🏈,1
🍄,1
📺,1
🌻,1
🌟,1
😉,3
🎵,1
💣,1
🙆,1
🕸,1
🔥,34
👋,1
🍟,1
🎟,2
👌,1
😁,6
😘,2
🌌,2
™,1
💥,4
💜,8
💃,1
🎀,3
🤮,1
📣,1
🏳,1
👏,5
💔,2
👑,4
🔫,1
👄,4
🎶,8
💩,1
🎸,2
✨,14
🎉,8
🐱,1
🤦,1
🕷,1
🔪,1
😪,1
👀,6
💋,4
🎃,2
😭,2
📻,1
👨,1
❌,1
⚡,2
💙,4
🖤,1
☀,3
🌈,11
😛,1
😳,2
👍,5
🌊,1
😊,1
💨,1
🎤,4
🐃,1
😱,1
❄,1
🙄,1
🌞,1
🤩,1
🎊,1
✌,5
😢,3
👯,1
📸,1
🍆,4
💅,1
💯,1
☹,1
😈,6
👇,2
🚨,3
🏆,1
😃,1
🍕,1
🚗,1
💕,1
😻,1
💚,12
🦄,11
🙌,13
