emoji,count
🎙,1
✈,5
😍,40
🗳,1
💖,5
😮,3
🌐,1
💎,2
🧡,4
🚨,16
🤓,7
📖,4
😘,8
🌹,1
🤗,2
🌎,3
🤙,3
🍾,2
🌅,2
💗,3
<built-in function sum>,1930
👓,2
🤫,7
💿,1
👅,9
🥰,3
❣,1
👋,7
🎄,5
😄,7
😋,7
📃,1
✔,1
💞,1
📺,1
🙋,3
🎵,9
🎂,9
⭐,16
🙏,107
🏀,1
🎟,8
👌,6
⬅,2
💥,28
😆,7
🎤,5
😜,15
🔗,2
👏,12
🙉,3
🎁,9
🐎,6
👈,3
🎇,1
😩,3
🌍,1
❗,1
🎉,93
↗,1
💡,1
➕,1
🗣,1
🏇,1
👀,6
🕵,2
🎃,1
😝,6
😭,3
👸,1
🚀,1
😐,1
⚡,14
✨,33
☀,1
⬇,16
💸,6
💰,2
🌊,5
🎈,5
👇,2
☮,2
🍬,1
☕,1
🍒,28
🎊,1
🗝,1
⛽,1
😢,1
👯,4
😁,12
🆙,17
😈,1
🎛,2
💪,25
🏆,2
💣,6
💧,4
💕,17
🎼,1
🤣,2
📽,3
⏰,1
🦄,1
😀,6
🔊,17
😬,6
😰,1
⤵,6
🎆,6
🗽,4
📞,2
♀,1
🕊,1
🛥,1
🗓,1
❤,84
🙈,4
😱,58
🤪,11
📲,1
🔽,2
➡,32
😏,6
☄,1
😷,3
🌺,1
😇,2
😂,76
😥,1
👬,1
👊,30
👁,1
🎻,1
👻,11
😎,16
👉,44
🎶,22
😉,14
✖,1
▶,13
📷,5
💫,6
🤐,6
🔥,259
🎚,4
‼,4
🕺,5
💜,2
🤔,2
🙃,7
🥂,1
😅,2
🤷,1
📻,2
📀,2
💃,14
📣,4
💔,1
😞,1
👑,3
🌪,2
😌,1
✊,1
♥,5
🔝,6
👍,8
💼,4
⚠,18
🏎,1
🤞,3
⏯,2
✅,7
📢,2
🔶,1
😪,1
😊,8
⚽,11
💋,3
🤘,2
🏖,1
💙,8
😃,8
🧐,1
🌈,1
🎅,5
🏁,38
🎥,4
📹,2
🐔,1
📆,1
🐯,1
📸,3
🔜,2
🌟,5
🤩,15
😻,3
🌴,10
✌,5
😲,2
🚦,9
☺,1
🌋,1
🏝,2
🙌,105
⬆,3
😛,4
💚,4
🎧,17
☔,1
💯,2
