emoji,count
🐶,1
😍,5
🔊,1
😬,5
💖,1
😮,1
🎅,1
🚨,7
♂,1
💁,1
🎈,1
❤,7
🍰,2
🌲,1
🙊,1
🚀,1
🍾,1
📅,1
<built-in function sum>,840
👟,2
💕,2
🖖,1
📸,4
😏,1
☕,2
🍋,1
😂,23
📍,1
🎄,1
🍓,1
🤖,2
🗣,1
✔,1
😎,5
🐊,1
🏁,1
👉,1
🎶,6
😉,7
🍷,1
🥛,1
🎂,5
⭐,2
⚾,1
🙏,122
🏀,1
👽,1
‼,86
👾,1
⛳,7
👌,7
🤔,4
✨,1
🥂,1
🔈,1
🏌,2
💥,2
💃,5
😜,2
👏,25
👑,2
🎁,2
😒,1
😩,1
💩,1
🔥,50
🕺,2
😘,2
🎉,43
⚠,9
🏎,2
🍹,2
🤘,4
😈,2
👀,20
✌,4
🎃,4
😝,1
😭,1
🐅,1
💪,10
🤙,3
⚡,1
🏈,1
🎼,2
🍕,6
☀,3
😳,4
👍,2
🎥,8
✂,1
🌊,4
😊,4
☺,3
🐯,1
📷,6
👇,1
👴,1
🍬,1
🎯,2
🌴,1
💋,1
👊,2
🎸,1
🍸,1
😁,1
⚽,2
💯,14
🚌,2
🥃,3
🙌,69
➡,2
🐐,3
🏆,130
💧,2
🤯,1
🤫,1
🍻,1
⏰,1
🎧,2
❄,1
