emoji,count
✈,6
🔹,8
😍,17
😬,2
🔺,3
🌸,3
👂,1
🚨,11
📞,2
☝,1
❤,13
▪,15
🌎,3
🙈,3
🔑,2
😱,6
💛,1
💗,3
<built-in function sum>,576
➡,4
💕,4
😵,2
💦,1
😂,41
▫,14
🔁,1
🔌,1
😄,1
😋,1
😎,3
💞,1
🌟,1
😩,1
😉,7
🎵,2
👍,4
🎅,1
🙏,10
🏀,1
‼,3
🎟,1
💜,2
😆,4
😘,7
📦,1
💥,2
👌,6
📷,1
💍,1
😜,4
💧,4
😲,1
😌,1
🧠,2
♥,1
🚫,2
🎶,2
🔝,1
🔥,81
✨,5
🎉,9
✊,1
🐼,4
👀,8
💋,1
🚪,1
🔦,1
😭,10
❄,1
👨,2
🚀,1
⚡,1
💙,1
😳,2
⁉,1
💘,3
💸,1
💰,1
🎥,4
🌊,2
😊,2
🔜,4
🤣,1
👉,3
🚙,1
🎨,2
☕,1
💭,3
🎊,1
✌,2
👊,2
🎸,1
😁,104
⚽,2
💯,16
🙌,16
🏆,3
😃,2
👏,9
😛,3
😏,2
📽,1
⏰,1
🎧,2
😝,2
💚,2
