emoji,count
✈,41
😍,15
💖,3
😮,1
💓,2
🎹,1
💎,8
🧡,4
👮,1
🚨,4
♂,27
🌹,1
🤗,2
🌎,2
🚀,1
👇,2
🤦,4
👍,2
🍊,2
🥶,1
🥳,1
🙅,2
💦,1
🥰,2
⛵,1
🌃,1
🎄,1
🥩,3
😄,1
😋,1
📃,1
✔,1
💞,1
🚘,1
🎵,1
🎰,1
🎂,3
👅,1
🙏,38
🎲,2
🌦,2
👌,23
🥦,2
🤟,6
💥,14
💜,1
😜,7
👏,6
🙉,2
🎁,1
😴,2
👄,1
☑,1
🍗,1
😩,18
🎡,1
🌍,1
🎉,3
🍁,2
🍔,1
🎬,2
💈,1
👀,20
🎱,1
😝,9
😭,21
😡,1
🤙,6
🍰,1
⚡,17
🌬,5
✨,8
⬇,2
💸,1
💰,4
🌸,2
☝,1
⁉,1
🌊,7
🤑,2
🎈,2
🍾,4
🙄,5
🤴,1
💛,3
🍃,11
🎊,1
👆,1
👊,5
🤫,2
😢,1
😁,3
<built-in function sum>,1749
😈,3
🐧,2
🤧,3
🏆,1
🍕,1
🤯,6
💕,13
🎼,1
😻,2
©,1
🔊,7
😬,1
🧩,1
🐸,1
💿,1
☘,2
📞,1
♀,1
❗,1
😵,4
❤,8
🙈,1
😱,10
🦐,1
🔫,1
🦖,1
☁,7
😏,3
🤭,4
🌺,3
™,1
😂,81
📛,1
🏄,1
🐲,4
⛽,6
👁,1
💟,1
🤤,1
😎,36
👉,2
🤠,1
😉,3
🌿,7
🎒,1
🙇,1
🥋,3
💣,5
🤐,5
🔥,664
👽,1
‼,13
🥺,1
🤔,12
🙃,1
🥂,1
😅,2
🤷,21
🎳,1
🤮,1
➡,2
💔,1
👑,3
😌,5
♥,1
🗨,1
💀,2
💩,1
🎸,1
😘,4
🐰,1
✊,2
🗣,6
👼,1
🔪,1
😫,2
😪,1
😊,4
✌,7
🧂,1
💪,10
🤘,43
💙,5
🖤,4
😤,9
🧐,1
💘,4
🌈,1
😛,1
😳,2
♨,1
🚒,1
💨,41
💫,2
📸,2
🔜,2
❄,5
💭,1
🌴,2
💋,1
😲,2
🚬,3
🍸,2
💯,32
🌋,3
🎶,12
🙌,42
🐐,9
🚗,1
🐉,47
🦷,1
😦,1
🎧,1
💚,3
