emoji,count
🍺,1
✈,11
😍,3
🎗,1
💖,1
💓,2
💎,191
🌸,10
♂,10
🤡,1
🌹,1
🤗,6
😯,1
🤜,10
👇,3
🥴,3
🌅,1
💗,2
🤦,3
📕,1
🤶,13
💿,1
💁,6
☕,1
💦,1
👫,1
❣,49
👶,1
🎄,23
🍓,8
🥩,1
😋,1
💙,7
📺,9
🚘,1
🧔,1
🕹,1
🎵,5
👍,3
👅,7
🙆,22
🦖,7
🚴,1
Ⓜ,1
😕,1
♦,1
💥,1
🍪,1
🥺,4
🎤,3
🥵,1
🤭,3
👏,6
🎁,2
👄,1
🍎,1
☑,1
🎶,4
🗻,1
🔥,8
❗,3
🐙,1
🎉,1
🧶,1
🐱,3
👺,3
⚔,1
🍵,4
👀,4
🖐,1
🎃,19
☔,3
😭,86
❤,13
🍡,2
⚡,9
💚,3
🐽,5
☀,8
☂,4
💸,2
🎨,4
🌀,1
📷,1
🃏,7
🤣,1
🧩,4
🐴,2
🎊,3
👆,1
👊,2
🌠,1
🙇,5
🤖,2
⬇,3
👹,6
☹,1
😈,23
✏,2
🍩,4
💪,1
🎍,3
🤯,1
🍇,2
🦌,1
📽,2
⏰,1
🐟,1
❄,14
🦀,3
😀,2
🍥,1
🍜,14
🍬,1
👑,39
👂,1
🎀,3
🐺,1
♀,29
🌙,8
☝,3
👨,1
👃,1
🍞,3
🐷,2
🦸,1
📞,3
💇,1
👟,3
💕,4
🍑,1
😷,1
🤲,4
🏠,1
😶,2
🍌,2
👁,4
🔻,1
😎,3
🌟,10
🌰,1
👩,1
✖,2
🦵,10
💐,1
🚲,6
💫,2
🧨,1
👽,3
🍟,4
🕺,1
⚒,3
💜,1
🤔,164
✨,24
☃,4
📻,2
💃,5
🤛,4
🐸,6
🧠,7
<built-in function sum>,1589
💀,1
🎸,6
😘,1
🐰,8
👕,1
📝,2
✅,1
📢,3
⛸,1
🐼,3
😊,1
🦝,3
💮,1
✌,2
🍠,2
‼,13
📱,2
🐶,11
🏫,2
🦑,6
⚫,1
💨,6
📗,1
🖤,3
🐮,3
🧐,13
😳,234
🎅,4
㊗,2
⛄,2
✂,2
🙃,5
📸,3
👉,9
😐,1
🥛,2
👿,7
🤩,1
💋,14
🔴,2
🐡,2
🐈,13
😆,7
💤,1
⭐,10
🙌,6
🍂,1
🤥,1
🦷,2
🥪,1
🎧,3
😝,4
🍛,1
