emoji,count
🗞,1
🌼,3
🐾,4
🌸,5
♂,5
🤡,1
🐻,3
😯,6
💆,5
🌅,1
💗,8
🤦,11
🐣,1
📕,4
🥳,4
☝,2
😖,6
👶,15
🤺,1
🎄,8
🍓,3
🗣,1
⚡,7
🍄,1
📺,9
🥓,1
🏅,2
🎵,1
🎂,13
🎅,15
🙆,2
🍧,2
Ⓜ,1
🕡,1
🍐,2
🍪,2
🥺,16
📷,9
💍,1
😜,2
🏫,1
🗿,2
🤭,2
🍎,2
🎶,4
🐙,2
🍁,1
🐱,3
🎬,1
🏇,1
😺,1
🤹,2
🎃,6
😭,490
💝,1
✒,1
☀,4
☂,3
🤨,9
💰,1
⁉,4
🌊,1
😧,8
🤣,4
🥝,1
🥑,1
🛌,1
🍒,1
👣,1
👆,1
👊,7
😣,20
😢,136
😁,5
💅,1
<built-in function sum>,4327
®,1
🌳,2
💪,19
🙁,2
🤯,2
😨,12
🎼,1
🦌,4
🍥,1
🙄,5
❕,1
🤶,1
🐸,2
🤽,1
☘,1
🎀,1
♀,81
❗,6
🙅,3
👨,3
🙈,11
🤢,22
🐷,5
💛,1
➡,1
🍑,4
💕,14
😷,4
🕛,1
🍋,2
😇,82
🏠,1
🍫,2
🐜,1
🧦,1
🍌,2
💟,1
🐆,3
👻,4
🔻,1
😉,13
🌰,3
🚶,1
▶,3
🐗,5
💫,7
👋,1
‼,18
✉,5
🍀,1
🤔,13
😘,26
😅,1
📻,9
🍈,1
😞,3
👑,1
👠,4
🤸,1
😙,3
🙍,1
💩,8
🍖,1
👍,7
✨,883
✊,25
🤒,14
😈,5
⛸,1
😴,1
😫,1
✏,1
😊,184
♥,75
⚽,5
🐵,3
🐶,10
🤘,2
⛪,1
👦,1
🐮,1
⚰,3
💘,5
😪,9
㊗,1
🎥,12
📹,2
🌻,5
🚋,1
🐯,39
🦂,1
👿,1
🤩,7
✌,2
🙂,1
🐈,1
🤝,24
☃,3
㊙,1
🆖,1
🏋,2
👼,9
🚗,1
😦,3
✈,4
😍,5
💖,3
😮,2
💓,17
🎹,1
💋,5
🤓,9
🖐,1
🤗,24
🚩,1
👇,4
🍉,5
📖,3
🤫,1
🍊,1
💿,3
☕,1
💦,4
🥰,13
🍜,5
❣,2
🙏,70
🐂,1
😄,6
😋,7
🙋,12
⚔,1
🍷,1
👌,2
🤟,2
💥,2
👭,3
😤,1
🎁,7
🍚,4
☑,1
🎫,3
😩,2
🗻,2
🔥,36
🕺,2
🎉,37
🖥,2
😟,3
😚,15
🍵,1
👀,3
😝,1
⛷,1
😡,3
🤙,1
😶,1
👧,3
🌛,1
👘,1
🍞,2
🏍,1
👵,2
🎤,51
🍬,2
🐴,1
🎊,6
😗,2
🦳,1
🙇,38
🎍,4
🕷,1
🍩,3
🤧,30
👏,34
◾,2
✂,3
🍦,1
🐟,4
🦀,1
😀,4
😬,1
⛩,3
🏯,2
🌝,2
👂,1
🥵,1
🥤,3
🚃,1
💁,2
🍨,3
🌺,5
❤,55
😱,32
🤪,1
💇,2
😏,19
🤼,1
⭐,8
😵,28
🍛,1
👐,3
😂,91
😥,3
🏃,5
👬,1
🏉,2
😠,2
🤤,10
◀,1
😎,9
🌟,4
💻,1
👩,7
✖,4
⚾,35
🍴,12
🤐,1
🍟,1
🤾,1
🔨,2
🤕,2
🙃,2
🤷,4
💃,3
🤮,7
📣,1
💔,1
😲,1
😌,29
💀,1
🎸,19
💑,1
🐰,2
⚠,2
✍,1
💜,5
🐼,1
🧚,1
⚫,10
💨,5
✋,5
🧐,1
🌈,4
😳,105
⛄,1
🐉,1
📸,2
❄,1
🥢,1
🦉,1
🌞,1
💭,1
🌴,7
🍸,1
😆,10
💤,1
💄,3
🐨,2
☺,425
🙌,12
🍭,1
😃,5
♨,1
🤥,1
🎧,16
