emoji,count
🍺,1
🐾,2
😑,3
🦍,1
🌸,21
🗼,2
♂,12
🔭,1
🐻,1
🏑,1
😯,7
🤵,1
💗,117
🏠,6
🤰,1
😨,1
📕,2
☝,24
👫,1
👶,7
🎄,8
🍓,3
🚆,1
⚡,2
🤚,3
💞,22
🍄,2
📺,24
🎹,2
🙋,14
💎,2
🎵,6
🎂,30
🎅,15
🙏,158
🏀,4
🚴,1
🍐,1
🧙,3
🥺,87
📷,6
❄,4
📰,1
👏,14
💊,1
🗽,15
😴,6
🤭,24
🍎,6
🍗,1
🎶,2
🍁,2
🌕,7
☂,5
🎬,36
♀,39
🏇,1
🖐,7
🤨,3
🎱,1
🎃,6
☔,2
😭,169
🚀,1
🌹,8
☀,23
👺,4
💸,3
💰,2
⁉,12
🏹,1
🍾,19
🤣,137
🏒,1
🙄,255
🍒,1
🍅,1
👆,1
👊,21
😣,5
😢,27
😁,83
😓,1
💅,1
<built-in function sum>,6857
👓,3
💪,21
🃏,1
🍕,1
🛫,1
📽,6
🤶,1
🛩,1
🎀,6
🎫,3
❗,17
😌,14
🍙,5
🤢,19
👃,2
🍞,2
🐷,1
📅,1
📲,3
😏,67
🎈,9
🤲,12
✌,117
🍋,3
😇,16
👻,5
🔻,5
🏈,1
😉,88
🚿,1
💐,15
💫,6
🛂,1
‼,69
👕,2
✉,2
🍀,1
🤔,121
✨,595
🥂,3
😅,8
😔,1
📻,6
💱,1
📄,1
👑,1
♥,4
😙,13
🚉,1
🍖,2
👍,59
😘,200
🎞,6
✊,6
🏎,2
😋,31
✅,1
😫,1
😊,219
🎓,1
⚽,9
📱,9
🐶,44
📙,1
🥁,1
㊗,92
🎥,103
💜,4
🦂,2
⚕,1
👿,6
👐,2
🤩,10
👰,2
💋,59
🙂,18
🐈,1
🤝,5
☃,10
🏸,1
🦷,1
🎾,3
🔫,2
💚,3
✈,14
😍,252
💖,61
🌉,2
😮,17
💓,51
😽,1
🧡,3
🤓,28
👒,1
🎩,2
🍰,1
🤗,88
😧,1
🥴,7
📖,10
🤫,35
💒,1
🍊,1
🥶,19
➕,1
💦,10
🥰,14
🍜,1
❣,5
🎤,1
👋,5
😄,10
🤘,25
🐽,2
👴,1
⚔,6
📼,1
🐓,2
👌,65
💳,1
🏙,1
👗,1
💥,18
🤳,4
🥞,1
🎁,13
🍚,10
🎋,14
🍝,2
👈,1
🐏,1
😩,3
🗻,3
🌙,1
🎉,43
⚒,1
😚,23
🍵,1
👀,8
🎽,10
🕵,1
😝,7
👨,2
🤙,21
🍡,2
👧,5
👘,1
🍔,3
🧝,1
🥋,1
📘,1
❓,1
👵,1
🎦,2
🐴,2
🎊,32
🤪,3
🙇,4
👹,17
🍩,1
🎍,2
✂,5
🍻,1
🐟,2
🎎,4
🦀,2
😀,26
😬,54
⛩,2
🧟,1
🏯,1
🌝,1
🎆,1
🚃,2
💁,5
🌺,2
🗓,2
❤,88
🌏,1
😱,2
😗,12
👯,6
💇,1
👟,4
💕,576
🐑,2
👄,1
⭐,10
😵,15
🍛,9
🚅,6
😂,287
😥,1
🏃,12
🥊,3
👁,1
🎇,1
🏉,1
🤤,6
🛁,1
😎,343
🐍,3
🌟,2
🏐,2
👩,1
✖,7
🏓,1
🧗,1
💿,1
⚾,1
🍴,26
👾,2
🕺,1
🙃,17
🤷,4
👸,44
💃,6
🤮,3
📣,11
🤛,1
😲,1
☺,147
🚥,3
🖌,1
🚎,1
🙆,12
🐰,5
⚠,1
💠,4
🔶,2
😪,2
🍠,1
🙅,1
🏫,1
💨,2
✋,2
🧐,1
😳,63
🔰,1
⛄,2
🐔,3
📸,5
🍽,1
👉,1
🌞,4
📚,7
🐱,3
😦,1
👝,1
😆,93
💤,8
🕶,1
🥃,1
🙌,4
💘,3
🍭,1
😃,39
😛,1
♨,6
💄,8
