emoji,count
🦀,2
🍺,1
🤩,1
😍,11
✈,1
💖,2
💓,22
💎,17
🌸,32
🗼,1
👂,1
🚨,1
♂,2
🤓,1
♀,2
💁,2
🌺,3
❤,753
🌹,1
🤗,2
🙊,1
😱,2
💛,1
🌅,1
📲,1
📖,1
👓,1
💕,629
🍑,1
⭐,1
🎈,2
💦,5
😂,2
👮,1
💌,1
❣,37
📸,4
🎄,10
🍓,1
🚆,1
😋,2
⚡,9
👻,2
🔻,1
💨,3
💞,5
🐽,1
🌻,4
👉,3
🎶,3
😉,1
▶,5
📷,3
💐,1
🎂,5
🎅,2
❗,4
🙏,1
🎌,1
©,1
‼,27
🍀,1
💫,17
✨,86
😅,1
📻,2
👭,2
🎮,1
🎤,4
🍅,1
📣,1
🥦,1
🎍,3
➡,3
㊗,7
🎁,17
😌,2
👠,1
♥,1
<built-in function sum>,2041
🎇,1
🍳,1
🔥,3
🌙,3
😘,2
🎉,12
✊,1
↗,1
💡,4
📝,1
🙌,4
😆,4
✴,23
👀,9
🍙,2
🍩,3
🎃,3
🚔,1
😭,1
🌼,1
⌚,1
🤙,1
🏠,2
⤴,2
🎙,1
💙,1
📗,3
🌲,1
⁉,9
☀,5
💘,3
🌈,1
😳,2
☝,7
📘,2
❓,1
😊,17
☺,10
😬,1
💃,2
🌟,22
🐱,1
🎐,3
🦒,13
🎊,4
🕶,1
🐯,7
🍻,2
🍈,1
🙇,3
🐈,1
😁,4
💤,2
㊙,2
🐥,2
🍶,1
👼,1
📺,5
☁,1
💪,2
🏮,5
💗,2
🎵,1
🎼,1
💢,1
⏰,1
🎧,2
↘,1
💚,1
