emoji,count
🦀,1
😀,1
🔊,3
💖,3
🐾,9
🌐,2
😑,1
🌸,2
🎁,15
🚤,1
🎫,2
❗,13
📽,8
📡,2
☕,1
❤,6
🤩,2
🌏,1
🚩,4
🍾,4
💛,2
👯,1
📖,2
➡,3
🤫,1
🙆,1
🛒,1
📌,1
💿,1
🎈,2
🎂,3
🤣,1
😂,7
🎪,3
❣,3
🍫,2
🏃,3
🎄,1
🎉,40
👊,1
🆕,1
😄,1
😋,2
😺,2
🌝,1
💌,4
🐽,1
🌻,3
👉,2
⏬,2
😉,7
📼,1
☺,28
▶,2
📷,2
👍,4
⭐,2
🙏,8
🎸,1
‼,45
🐈,14
👌,3
🌱,2
🤔,2
😘,15
🐥,1
☄,1
👗,1
💥,4
♂,6
🎮,4
🎤,9
🎀,2
🍅,1
📣,4
🍜,2
👏,9
㊗,1
⚙,3
🦌,1
👠,1
🤸,1
🚗,1
🗨,1
🎶,10
✨,120
🌾,1
🔥,3
💁,1
🐙,2
🎞,3
🐰,1
⚠,1
📝,2
💡,2
✴,3
🎬,8
🙌,8
📢,2
✅,3
🐤,3
🍮,6
♀,9
🍵,1
😊,3
✌,5
💜,1
🎃,1
😝,11
😭,28
💝,1
📻,12
🍴,2
📙,1
⚡,2
💨,3
✋,2
🤗,1
🚚,1
⁉,2
🧐,1
☀,1
☂,1
🕗,1
😳,4
📺,9
🎥,2
👀,4
😎,2
💫,3
💃,1
💕,23
🌟,17
🙀,2
🎨,1
😢,5
🌞,3
💭,1
🎊,6
🙂,1
🙇,10
🆘,6
😆,23
<built-in function sum>,788
®,7
👼,1
🏁,1
⛓,1
😃,4
🎵,3
😨,1
🖨,1
😻,1
⏰,2
🎧,2
💓,2
💯,2
