emoji,count
🎙,2
✈,5
😍,20
💖,7
😮,4
💓,65
😽,1
🌸,8
♂,3
🐻,3
🌹,2
🤗,30
😯,1
👇,3
🥴,5
💗,8
<built-in function sum>,1506
👓,2
😨,1
🥳,1
☕,3
💦,7
🥰,10
❣,4
🎤,3
🙏,2
🎄,3
🗯,1
😄,3
✴,2
💞,1
💙,2
📺,4
🌻,11
🚘,1
🙋,1
🎵,2
🎂,5
🎅,1
🙆,1
👌,1
🌱,3
🏭,1
👗,1
🍪,1
👭,5
💜,1
📷,3
😜,1
🎍,1
🎁,4
😴,1
🤭,1
👈,2
🎫,1
🎶,56
🌾,2
🔥,2
❗,9
🎉,4
💡,1
🎬,1
😚,5
🐹,1
👀,8
™,1
🎃,1
😭,16
🌼,17
🍇,1
🤙,1
😶,1
✒,1
⚡,2
🎥,2
☀,11
👘,1
⬇,2
⁉,3
💘,1
🎈,3
🃏,1
🤣,14
🙄,4
🦐,1
🍒,1
🎊,3
👣,1
📅,1
🙇,1
😁,1
⚽,1
🍩,1
👏,3
😏,1
😻,2
🥑,3
⛩,1
😰,1
👂,1
🥕,2
🎀,4
♀,2
🌙,1
😵,1
❤,181
😱,10
💛,6
😗,1
👟,2
💕,115
⭐,1
🌺,1
😂,22
💌,1
🍫,1
🏃,1
👁,1
💟,2
😎,2
😥,1
😘,2
😉,1
🚶,1
🐣,2
▶,4
😢,7
💐,2
💫,1
⚾,3
🎸,2
‼,231
🥺,44
🍀,2
✨,65
💁,4
📻,2
📣,1
📄,1
💔,1
🐥,4
😌,14
👠,2
♥,28
🍳,1
👍,7
🐠,1
🎞,2
🐰,44
😋,3
👼,11
📢,1
😊,36
💋,8
🐵,1
🐶,7
💬,21
💨,5
🥁,1
🌈,3
😳,14
㊗,1
🌛,1
✂,3
🐯,1
📸,2
❄,2
🥛,1
🌞,5
🌴,7
✌,4
🐚,4
☃,2
☺,53
🙌,3
🐐,1
😃,1
🚗,4
😦,1
🎧,1
🙅,1
