emoji,count
🍺,2
🌼,9
😑,12
🌸,62
♂,5
🐻,16
🙊,17
🍤,3
💗,66
🤦,21
😨,21
🐘,2
🥳,5
🙅,7
👶,10
🎄,16
🍓,16
🎞,1
🤒,4
👧,13
🍄,2
🌻,3
🙋,20
🎵,9
🎂,19
🎅,16
🙆,11
🍧,2
😕,10
🍐,1
👞,1
💜,78
🎤,17
💍,2
👏,21
🗽,2
😴,22
🤭,9
👐,1
🥊,1
🎶,6
👎,1
🌕,1
🐹,1
♀,104
☔,9
😭,344
💝,4
👜,1
💏,1
⛱,1
🈲,2
❌,4
🤗,23
😯,3
🎷,1
💸,2
⁉,3
🎮,1
💡,4
🍣,2
🚢,2
🍾,3
🤣,32
🙄,36
🤴,7
🍒,2
🍃,1
👣,2
👆,5
🍌,1
🎠,1
😣,21
😢,48
🤖,3
😓,2
⚽,5
💅,3
📖,1
®,1
🌳,5
💪,37
🍕,5
🤯,26
🎼,6
⚕,1
🍥,1
🍊,6
😰,5
🎀,71
🎫,2
❗,29
☝,3
🤢,15
🙈,24
🐷,19
💛,89
👠,1
🤝,4
🍑,4
💕,284
😷,7
🥁,2
🍋,2
😇,11
🐴,7
🍫,3
🔁,1
💟,5
👻,18
🐝,29
😉,32
🍂,3
🚶,1
🦵,1
💐,22
💆,2
💫,38
👽,8
‼,97
✉,2
🤔,57
🎡,1
🥂,1
😔,5
🎳,2
⭕,4
✨,364
😞,19
👑,2
🌪,1
🙎,1
♥,81
😙,1
😒,2
💩,1
🍖,3
👍,41
😘,51
🐖,4
✊,17
📝,9
😫,15
😊,50
🎓,1
✌,10
🔋,2
☀,7
🐶,8
🤘,1
🍏,1
👱,1
⤴,2
⛪,1
🏖,2
💙,26
🔶,2
🚁,1
😤,14
💘,36
🌮,1
😪,3
㊗,13
🐯,1
🦌,5
🥀,1
👿,3
🐱,5
👰,10
💋,7
🙂,30
🐈,6
🏅,1
☃,10
💯,9
🍝,1
🚌,4
👼,33
🐐,1
🎭,1
🦄,1
😦,14
💚,36
✈,5
😍,3
💖,22
😮,23
💓,712
🎹,2
🧡,25
🚨,1
🛀,2
🤓,1
🏰,2
🖐,1
🌹,33
🌲,4
😧,2
🍉,7
<built-in function sum>,6017
🤫,28
🔸,2
🥶,15
💁,3
☕,3
💦,55
🥰,6
❣,9
👋,5
😋,11
🦊,1
🐽,1
🚘,1
👌,4
🤟,2
👗,4
💥,6
👭,1
⚓,3
🥞,4
🔺,5
🎁,4
👙,1
🍚,2
🌷,36
☹,1
👈,2
🚺,1
😩,10
🔥,18
🌙,15
🎉,23
😚,1
💉,15
🐩,1
📦,1
👀,10
😝,1
😡,12
🤙,2
😶,10
⚡,2
🍰,6
👘,2
🍔,7
🍞,1
🕴,1
❓,2
👵,7
📷,2
🍬,6
🎯,1
🐳,1
🦆,1
🎊,12
💲,1
🙇,22
😐,1
🎍,3
😈,2
🍩,1
🤧,1
☎,4
✂,2
🍦,3
🐟,1
❄,6
😀,1
⛩,2
🙏,52
💮,1
🎆,1
🚃,1
🕊,1
🍨,1
🌺,10
❤,362
🐌,1
😱,5
🤪,1
👯,1
👹,2
☁,2
😏,4
🐑,21
🐇,1
⭐,13
😵,4
🍛,1
🚅,3
🐭,3
😂,235
😥,5
🏄,5
🏃,13
🔌,1
🎻,1
😠,5
🤤,50
🛁,5
😎,33
💌,4
🌟,1
👩,9
✖,3
😗,2
🥚,5
💣,4
🍴,12
🤐,1
🕺,1
🤕,1
🙃,7
🤷,6
👸,2
📀,1
💃,2
🤮,9
🧘,1
💔,14
😲,3
🐥,1
😌,101
🧠,1
💀,1
🏝,6
🎸,2
🍹,1
🐰,43
⚠,22
✍,1
🍎,1
🐤,1
🍮,2
🐼,5
🏊,2
🚪,1
🧚,20
💨,3
✋,15
🖤,11
🐸,4
🧐,4
🌈,8
😳,69
🍵,2
⛄,6
🐔,4
🍇,3
📸,4
👉,3
💭,20
📚,1
🌴,5
🥺,36
😆,21
💤,3
🎧,1
☺,93
🙌,17
🐮,2
🍭,6
😃,8
😛,5
🤥,9
🍲,5
💄,5
