emoji,count
🍺,1
✈,8
😍,38
😮,1
💓,30
😑,3
🕑,1
♂,58
🛀,5
🤓,2
🎩,1
🤩,4
🤗,12
🙊,2
💗,12
<built-in function sum>,2426
😨,3
🥳,6
☝,8
💦,8
😖,1
❣,3
🌇,1
👋,5
🎄,6
🕝,1
😄,8
😋,5
🚠,1
💞,2
📺,3
👉,1
🚘,1
🙋,3
🎵,4
🎂,6
🎅,48
🙆,1
🗼,2
👖,1
🚴,3
🤟,3
🍪,9
🎤,14
👏,89
🗿,7
🍎,1
🎶,21
🙃,4
🔥,63
🎉,18
✡,3
🍔,1
🎬,2
😚,12
➕,2
🏇,1
👀,12
🚄,1
🎃,3
😝,7
😭,256
🤙,3
😶,1
⚡,1
⛄,1
☀,27
⬇,18
⁉,6
😱,7
🤣,5
🕔,1
🛌,3
🎊,1
👆,2
👚,1
🤫,4
🙇,80
😁,7
®,2
💪,41
🚵,3
🍕,1
◾,5
😏,1
🎼,1
💢,2
⚪,1
😀,1
🔹,2
🙄,2
😬,2
🙏,321
🏯,2
♀,1
❗,3
🛏,1
❤,39
🙈,7
🐷,1
😴,7
👯,1
🦖,1
☁,1
💕,19
🏂,1
😷,1
🎈,2
😇,22
😂,9
😥,1
🏠,1
🏃,7
💟,2
👻,1
🛁,2
😎,155
😣,1
🎢,1
😉,3
🚿,1
▶,171
😢,10
🐗,1
🤐,2
🎌,1
‼,60
🥺,9
🤔,3
🎡,1
😅,2
🏸,1
💔,2
😲,1
🕶,3
😌,1
😙,3
✨,70
🍖,1
👍,85
🍹,1
😘,26
👕,2
👼,2
⛸,1
😫,1
😪,3
😊,59
✌,4
🏊,6
🛬,1
📱,1
🐶,4
🤧,6
⤴,2
⚫,11
💙,10
✋,1
👦,1
🕖,1
😳,12
㊗,4
🎥,5
💨,4
📸,3
🌟,10
🙀,1
🌞,3
💭,4
🌴,16
💋,2
😆,38
💤,18
⭐,17
☺,14
🏝,1
🙌,9
😃,5
♨,2
✖,1
🎧,2
☔,1
