emoji,count
🎙,1
😭,2
😍,6
❕,1
💖,1
💓,2
🔖,1
🌸,4
🕑,1
👂,3
🎆,1
🗽,9
🐕,3
♀,2
❗,6
🗓,1
❤,5
🌹,1
🚩,1
👇,5
🐙,1
<built-in function sum>,631
📸,1
💕,2
🍑,2
🍊,1
⚔,1
🐺,6
☝,1
🐢,43
😂,1
🌃,2
❣,2
🦅,69
🍴,1
🎄,12
🎪,1
👕,1
🌝,5
💞,1
🍄,1
📺,2
👉,1
🦋,11
🙋,1
🍷,1
🐣,1
🌘,2
🎵,2
🥚,9
🐗,4
🎅,2
🙆,2
🎸,1
🦔,2
📩,1
‼,18
🎟,1
🤔,1
😘,1
🎣,1
💥,1
♂,4
😆,3
🎤,3
📣,2
🎍,1
🎁,2
💄,7
🐇,1
🍎,2
🎫,3
⛩,2
🎶,1
🔥,2
💁,1
✨,31
🎉,3
⚠,4
⏩,1
🐱,1
📝,1
🎬,2
🙌,2
😉,1
🧞,2
🤶,1
✏,2
😊,3
🧤,1
✌,3
📢,2
☔,73
🐶,1
🌼,2
📻,1
🦉,1
⚡,1
🎨,1
☀,2
🌈,2
😳,2
㊗,3
🌛,1
❓,1
👀,2
⁉,1
💃,5
😱,1
🤣,4
🌟,5
🙄,1
🍧,10
🌞,79
🎏,1
🗣,1
🔴,3
🎷,2
🙇,4
😁,1
☃,28
⭐,1
☺,2
®,3
👼,2
⛄,1
👏,1
🥟,1
🎃,4
🎼,1
😻,1
🍁,1
❄,5
