emoji,count
✈,3
😍,56
💖,1
😮,1
💓,13
😽,9
🌸,1
🤓,1
😿,1
🎩,2
🍰,6
🤗,6
🙊,1
😧,2
🌅,1
💗,5
<built-in function sum>,1897
😨,2
🍊,3
☕,6
💦,1
🌃,1
👶,1
🎄,5
🍓,2
😄,17
😋,15
🌞,20
😫,2
💞,1
📺,5
😑,3
🌛,3
🙋,5
🙇,2
🐓,1
🎵,2
🎂,13
🎅,2
🙏,1
🚴,1
😹,16
👗,4
🍪,10
👭,17
🎤,4
😜,1
🎍,4
🎁,3
👙,2
🍚,1
🎋,1
☹,2
♀,1
🎶,6
❗,40
🎉,2
😟,5
🎬,3
😚,8
😺,5
🌚,1
🎃,3
☔,2
😭,74
💝,4
👏,2
😡,1
💏,16
👧,4
㊗,1
😼,1
🌲,1
🎨,1
☀,5
👘,2
⁉,5
📔,1
🌜,1
🚃,2
🙄,2
🍬,2
🌂,1
🍃,1
🎊,2
😣,2
👦,1
😁,2
😔,1
💅,1
📖,1
😈,1
🍩,1
💪,1
🏫,1
💕,10
🍻,1
😻,18
🐟,1
😀,3
⛩,1
🌝,3
🐸,3
🎆,2
🎀,4
🐏,3
💁,1
☝,1
❤,138
🙈,3
💛,2
😴,2
👯,8
😏,3
😵,1
😇,44
😂,34
🐭,2
🍫,2
🍶,1
😸,9
👬,1
🙂,1
👑,1
🤤,2
😎,8
👚,1
🌟,2
🍣,1
😉,9
🌰,3
👩,15
🚶,2
😢,9
🚲,1
🐗,1
🍴,5
🎌,1
‼,374
💜,2
🍀,1
🤔,1
🙃,1
💤,2
👸,4
💑,2
💃,1
🍅,2
😞,3
🧀,2
😌,10
👠,4
♥,165
😙,2
🙍,1
✨,139
🍖,1
👍,3
🐱,29
😘,9
🎞,1
🐤,1
🍮,1
😊,64
💋,22
🍠,6
🐶,3
💙,2
🍯,1
🍕,1
💘,3
🌈,2
😳,17
🏁,1
🎥,13
✂,4
🐔,1
👀,1
❄,3
🐞,3
🐝,1
📚,2
😲,2
🐈,10
😆,28
☃,5
🐨,1
☺,56
🌷,2
👼,2
⛄,2
🍭,1
😃,1
🚗,1
😦,2
💄,2
😝,1
💚,2
