emoji,count
✈,5
😍,12
🔊,1
💽,1
🎺,1
💖,64
⌛,1
💓,11
🎹,4
💎,5
🌸,5
☘,1
🎀,3
💁,2
🎈,4
❤,64
🍰,1
🎅,3
😱,1
💛,24
☠,6
💗,17
💇,2
📸,1
💕,24
🐇,1
💿,2
☕,1
🍋,2
🐢,1
😂,1
💌,1
🏄,1
😇,5
👆,1
🎄,11
❌,1
😄,2
🤘,4
💟,1
👻,3
💣,1
😎,5
💞,13
🌻,1
👉,2
💀,9
😉,5
👯,4
🍷,1
🐣,1
🎵,8
💐,8
🎂,15
⭐,3
🙏,46
🔥,2
💜,43
🍀,1
😆,1
🍐,1
😘,13
🥂,1
📻,1
🎉,14
👌,2
🎤,23
⚓,2
🍅,1
😜,3
👏,8
👑,1
🎁,7
👙,1
🌷,1
♥,16
🍎,1
<built-in function sum>,1176
🎶,36
🔝,1
🎸,45
🌙,2
✨,12
🎻,1
🐰,3
👕,1
🍹,1
🔮,1
🎬,3
👼,11
😴,3
😸,1
😩,1
😊,6
💋,58
🎃,13
😝,1
😭,2
🌼,1
🍻,4
❄,3
💏,2
🌹,1
💙,71
🖤,99
🎥,8
☀,17
💘,6
🌈,2
👍,3
⛄,2
🌊,20
💫,8
📷,6
💝,4
🤣,1
🌟,15
🍬,1
🎨,1
🍒,1
🌜,1
🎊,3
🌴,14
✌,1
👊,2
🌠,2
👚,1
🎷,1
😢,2
🍸,2
👠,3
🌄,1
💄,5
💅,3
☺,12
🍝,1
😈,6
🌞,5
💪,3
🍭,2
😃,6
🍕,1
🐪,3
🎼,18
😻,1
💚,23
🎧,4
🔟,3
🦄,1
😁,2
