emoji,count
🎙,1
😀,1
😍,6
💓,65
🎹,3
⤵,2
🧡,1
🎀,1
🎫,1
❗,2
🎈,2
❤,13
🌹,1
🤗,2
😱,4
🍉,2
🤪,1
💗,2
📖,1
👓,1
👍,5
💿,1
⭐,1
☝,1
💦,1
👫,1
😇,1
😂,2
💌,1
❣,6
🏠,1
🍫,2
🍴,1
🎄,7
🎤,4
◼,1
🐆,1
✔,1
😎,1
🏁,1
🌟,2
🙋,3
🎵,3
🌸,1
💫,2
🎅,3
🙆,1
♣,1
📩,1
‼,40
💜,2
🤟,4
📻,2
💃,1
💍,1
✌,2
㊙,2
👏,2
🎁,1
😌,3
✊,1
🔫,2
♥,4
🍎,13
😙,1
📪,1
🎂,3
🎶,6
🎸,1
💡,1
✨,45
🎉,7
⚠,2
🍁,1
🍹,1
😋,1
♀,1
✏,1
👀,3
🎩,3
💋,1
😝,2
😭,7
💥,2
🐻,1
🤘,4
🔻,2
<built-in function sum>,435
⚡,1
💙,1
🤔,1
🖤,1
⁉,7
😤,1
🌈,1
㊗,6
🎥,2
😊,17
💨,1
🚃,1
📸,1
🤣,1
💛,2
🐱,1
🎊,2
🗝,2
🌙,1
👊,2
🐯,1
😢,4
😆,4
♠,1
☺,2
🙌,2
📺,3
👟,1
💪,1
😃,1
◾,3
💕,10
🍻,1
😻,2
💚,1
