emoji,count
😱,2
㊗,2
👍,30
🤫,1
🖍,1
👑,10
💛,2
🧡,1
🌅,26
▶,2
💪,3
🤙,4
🤘,16
💎,3
🏰,1
👏,96
😌,2
🥂,3
🌈,34
<built-in function sum>,1993
🙌,45
🎬,1
👊,2
😆,13
🙇,5
👻,1
🐕,1
📍,1
🎳,1
🔥,98
✌,5
🔵,4
🍣,1
😄,1
😍,2
🦅,1
😭,12
🔜,17
🏴,1
🐺,1
🌃,1
😢,1
😜,1
🐭,1
🦊,1
🌻,2
🎊,1
🎥,6
➡,7
🎶,1
👋,16
💀,1
☝,1
💨,1
♥,1
🎧,2
🚨,1
😎,5
🌙,2
🌕,17
🖤,8
🌍,1
☔,2
😁,6
😝,1
❄,10
🤷,1
♠,1
🤣,5
🌹,3
⁉,1
😩,2
🏆,24
🥀,2
📸,11
😤,2
🎍,4
♂,3
🖖,18
🗼,3
✈,2
😂,8
💯,61
🎁,3
🙊,1
🌒,1
❤,33
❗,29
💥,148
✔,20
®,15
🏳,1
🎤,2
🙏,111
😘,1
🎉,14
👀,2
☀,2
💙,12
🏋,1
✖,3
⚡,6
👟,1
📝,1
🎞,1
🍻,1
⬇,7
🤝,2
‼,441
💐,11
👉,1
💖,1
⚫,1
🔴,6
✨,381
👂,1
😧,1
🎃,2
💚,7
😳,1
🌄,1
💫,1
😏,10
🎂,7
💓,2
