emoji,count
🎙,2
✈,2
😍,9
😮,6
💓,1
😑,1
🌸,4
🗼,4
♂,6
🛀,1
🤓,6
🎩,3
🤗,2
😯,1
🔑,1
👇,3
🍉,1
<built-in function sum>,698
👓,1
💫,2
📕,1
💿,6
☝,2
💦,1
❣,2
👋,5
🎄,3
😄,1
🗣,2
🤚,1
📺,3
🎹,10
🙋,1
🎵,3
👍,40
🎅,1
🙏,5
👖,1
Ⓜ,15
🆓,1
👌,1
🌾,1
🧙,1
☁,1
💥,6
🎤,4
🌟,1
👏,6
🗿,1
🍎,2
🎶,2
👅,1
🗻,4
🔥,1
❗,4
🎉,8
↗,1
🌕,1
🍔,1
🎬,6
😚,1
🏇,1
👀,17
🤡,1
🎃,3
☔,10
😭,4
⌚,1
❤,4
🚀,3
✒,1
⚡,2
🎥,4
☀,2
☂,1
💸,1
⁉,4
🌀,1
🌊,1
🌳,1
🏆,1
🤣,6
🙄,5
🛌,1
🎨,2
🎊,7
👣,1
👊,3
🙇,3
🍆,1
📖,2
🎍,1
✏,1
🎛,1
💪,7
🗺,1
😏,7
⏰,1
⚪,4
😀,1
🔊,2
🍜,5
🏡,1
👑,1
👂,8
🎆,1
🐺,1
💁,1
☕,1
👨,1
🌏,1
🙈,2
😱,3
😗,7
👯,1
😐,2
➡,1
💕,3
🙆,1
😷,1
🌺,1
😇,2
😂,2
🏄,1
🏃,3
👁,4
🎻,2
🤤,9
😎,15
👉,1
💻,5
▶,1
🚲,1
🔋,1
🎚,1
‼,16
🕺,18
🤔,9
✨,28
🌌,1
📻,14
📀,3
🍅,1
📄,2
😲,3
☺,21
😌,7
⚠,2
😙,1
🖥,1
🎸,16
😘,1
✊,1
😋,4
📢,1
🐼,1
😊,13
✌,1
🏫,1
⤴,1
💨,2
😤,3
🥁,3
🌈,2
😳,5
㊗,1
🗑,1
📹,3
🕴,2
📸,12
🍽,1
❄,1
🦉,1
🌞,2
🤩,2
🔴,5
🍸,1
😆,27
⭐,3
㊙,1
🕶,2
🙌,11
😃,1
🐉,1
🎧,13
