emoji,count
😭,6
😍,3
☠,1
🧟,1
😮,1
💓,1
😑,7
👮,1
♂,18
♀,1
🤡,9
👨,3
🌹,9
🤗,4
😯,1
🙈,4
😧,3
🦐,1
👯,1
👹,1
😨,1
♥,1
😵,1
😖,1
😇,4
😂,39
😥,2
🙆,13
🎄,1
👁,6
😄,68
😋,19
👻,1
😎,180
📺,2
😣,3
🤦,1
😰,2
😉,1
👩,3
👽,1
👍,98
🎅,1
🙏,73
🤐,1
📩,1
‼,25
👾,3
🤟,1
😘,4
🥂,1
😅,3
😆,20
🎤,1
😜,4
👷,1
💔,1
😞,1
😲,1
🎁,1
😌,33
😴,1
🤭,2
😙,1
🎇,3
😩,1
👅,1
🔥,246
🕺,9
✨,7
🎉,28
💡,1
🤘,44
🎬,1
😚,1
😫,1
😊,199
✌,8
🎃,2
📱,1
🤤,2
💪,65
🏙,1
😤,1
☀,2
👺,3
😢,4
😳,2
🌈,2
㊗,37
🎥,1
🈵,1
☺,18
🚢,3
😱,4
🤣,5
❄,1
🙄,1
♨,2
🙅,1
🎊,4
🤞,1
📣,1
🙇,1
🤖,1
💀,1
<built-in function sum>,1492
☹,1
😈,2
🤧,2
👏,24
💕,5
🍻,1
😦,2
🏫,6
🙌,27
