emoji,count
🦀,1
✈,1
❔,2
🐶,2
👺,3
©,1
❕,10
🎪,1
😮,1
💓,2
🌸,19
♂,1
🌶,1
🎫,1
❗,24
❤,4
👇,1
🦐,1
<built-in function sum>,559
☁,228
🤫,1
🖖,1
☄,1
🌖,2
💦,3
🚅,1
🐢,1
😂,1
💌,4
🏄,1
🙆,1
🎄,4
❓,8
🗣,4
💟,1
💃,1
😎,2
😥,1
🐍,1
👉,1
😉,1
🦎,1
👩,1
✖,1
🐓,4
▶,1
🎵,3
💫,1
⭐,1
🙏,1
♣,2
🔥,2
🏃,1
📩,2
‼,5
👌,1
🌱,1
🤔,4
🙃,1
😅,2
💁,1
📻,2
📀,1
🎤,1
✌,4
🌟,1
🎍,6
🗽,1
😌,1
🍚,1
🗿,1
🍻,2
😙,1
♀,2
🎶,7
🎸,2
🌕,3
✨,20
🎉,4
💡,1
✴,2
😚,1
✉,1
🐼,3
😊,7
🎓,1
💋,5
🍠,1
🔞,1
😭,6
💥,2
🐿,2
🦑,1
⚡,2
💨,1
📜,1
⁉,3
☀,1
🥁,2
🍄,1
⬇,1
👍,2
㊗,1
📘,6
🌊,1
👀,1
☺,22
🎼,2
🎁,2
➰,1
🌞,1
👸,2
🐵,1
🤞,1
🙇,3
🛍,1
😆,3
🎧,1
🐨,2
🐥,1
🏝,1
🙌,1
➡,3
🕟,2
👏,1
💕,2
🍦,1
🛫,1
💄,4
📱,1
😁,1
