emoji,count
🎙,1
✈,1
😍,102
🗳,1
💖,3
🐾,1
😮,5
💓,1
🎹,55
💎,15
🌸,2
🚨,19
🛀,3
📖,5
😘,296
🤡,2
🌹,1
🤗,15
🌎,26
🔑,12
👇,2
🌅,3
💗,2
<built-in function sum>,4563
💣,7
🥳,2
☝,3
🥰,8
🌃,7
👶,6
🌇,3
🙆,2
🖊,3
😄,2
🗣,2
💞,14
📺,1
🌻,6
👴,2
😋,4
📼,5
🍷,1
🐓,1
🎵,11
🎂,9
⭐,4
🍿,1
🙏,163
👌,16
🦁,4
🐥,3
👗,1
💥,131
💜,597
📷,18
😜,11
👏,151
🗽,3
😴,13
👄,1
👈,1
🥊,7
🎇,4
🎶,60
🌾,6
🔥,215
💁,2
🎉,75
🥂,2
🍹,1
⬇,1
🎬,1
😚,2
🥁,3
😩,3
👀,42
🖐,3
🎃,10
😝,22
😭,6
🚀,12
😶,1
🍰,1
⚡,40
📜,1
🎥,4
🙊,10
☂,2
🎨,9
🌊,9
🌜,5
🎤,105
🍾,4
🤣,57
🎯,5
🎊,3
👆,4
👊,32
🌠,14
😣,1
🤫,1
😢,4
😁,14
💅,3
🔔,2
☁,2
🐝,1
🏆,6
💧,1
🤯,3
💕,8
🎼,31
💺,1
⏰,5
❄,11
😀,4
🔊,2
😬,3
🕶,1
⏳,1
👂,2
🎆,3
🎁,4
💴,2
😷,1
♀,8
🌙,6
🌺,6
❤,203
🌏,2
🙈,9
😱,10
💛,10
🤪,3
👯,7
➡,1
😏,5
🐺,1
😵,2
👐,2
😇,1
😂,142
😥,2
🏃,3
👻,9
😎,18
💌,2
👉,47
🦋,1
😉,165
🍂,1
💭,1
💫,9
🌍,1
👋,3
‼,8
🥺,2
⛄,1
🤔,14
🙃,3
🌌,4
😅,1
🤷,3
📻,3
👼,6
💃,8
📣,4
💔,2
👑,54
💯,32
😌,1
⚠,2
👠,3
♥,8
😙,1
✨,163
🎸,7
💡,2
🐠,2
🐰,2
✊,10
📝,12
🤒,1
✍,1
😆,14
😫,6
😪,2
😊,5
💵,1
✌,12
🏊,4
☀,41
💪,39
🤘,3
💙,11
✋,3
🖲,1
🖤,3
🌆,1
💘,1
🌈,67
🐩,1
😳,12
👍,4
🌛,1
💨,1
📸,14
🌟,281
🙀,5
🥀,3
🐞,3
🤩,1
📚,3
🌴,4
💋,10
🐄,1
🍸,1
😯,2
💤,8
☺,11
🏝,4
🏋,2
🙌,178
🌞,24
🎭,2
😃,17
🏥,1
🍲,2
🎧,16
☔,6
💚,1
