emoji,count
🎁,2
😌,2
😍,2
😘,4
📩,1
🎫,2
💓,1
🎶,4
🌸,1
🔥,2
👂,1
✨,164
🎉,7
👕,1
❗,23
🎬,1
🖐,1
✅,12
😊,8
👇,31
📲,3
<built-in function sum>,554
➡,3
💕,2
📱,2
😭,8
🐻,2
💿,3
❤,8
🍙,16
🚅,1
⤴,1
😂,7
⚡,1
💌,2
✋,2
🎤,4
🎄,1
⁉,2
🙂,1
☀,1
💘,1
😄,2
⬇,2
💟,3
😳,3
🎥,2
📺,9
👀,1
🌟,2
🦋,9
🙋,2
😱,2
✖,2
👉,4
🙄,2
▶,1
🎵,9
💐,1
☺,16
💣,1
🎊,4
🙏,4
👊,1
🌠,1
😢,1
‼,71
📸,2
🐥,1
®,1
🙌,10
🐧,1
📻,23
😃,1
◾,2
😆,2
💃,1
💫,1
😜,4
🎧,7
👏,1
🐙,1
