emoji,count
🎙,4
✈,9
😍,3
🕶,12
🌐,7
🎹,1
💎,5
🌸,6
🗼,15
🚨,14
♂,28
🐻,3
🌹,28
🔑,1
👇,31
🍉,1
🌅,5
🤦,5
😨,1
🎅,24
💦,4
🐢,1
🌃,11
👶,9
👋,2
🎄,8
🏯,1
🤘,10
🐕,1
💙,27
📺,17
🌻,2
👴,1
😋,2
🙋,1
🙆,8
🦍,4
🎵,1
🎂,8
👅,66
🙏,42
🦖,26
👖,1
🚴,1
👤,7
😹,1
👌,5
🤟,1
🏙,1
💥,32
❗,47
😆,1
🎤,8
🏵,2
💍,1
😤,1
👏,17
🗡,3
🎁,22
🐇,3
👈,1
🍭,2
🎫,1
😩,7
🗻,1
🔥,314
💁,1
🎉,6
↗,2
💡,1
☂,1
💈,2
㊙,12
👀,7
🧤,1
🆘,1
🎃,8
☔,5
😭,10
⌚,2
👨,11
🚀,17
🏠,2
❌,2
⚡,11
😼,7
⛄,3
🐒,1
☀,5
🎷,1
⁉,8
❓,14
👵,2
📷,3
🏆,5
🤣,20
🤴,2
🔵,2
🎊,3
👊,3
🌠,1
🎸,4
🙇,6
😁,72
💇,2
😈,9
✏,4
💪,11
🎍,2
🤫,12
🧞,1
🛫,2
👲,1
⚪,5
❔,4
🔊,5
☎,1
❕,16
⌛,1
⏳,7
🌝,3
🎰,8
🧢,1
🦁,2
🥕,3
🗒,1
♀,1
🌙,2
👥,1
🍙,1
❤,16
🌏,4
🙈,2
😱,1
📲,6
👹,1
👟,1
🖖,2
🤭,3
🌺,1
⬇,35
🍎,7
🐭,1
😂,43
🏄,3
🍫,1
🏃,6
🆕,4
😎,26
🐍,2
📻,5
👉,6
🍳,1
💻,6
⛓,2
✖,1
✂,1
💆,1
💫,1
👾,1
⚾,3
🛍,1
🤐,2
🌍,1
🚼,1
📩,2
‼,64
🕺,19
💜,1
🤔,16
😘,1
🛷,2
☃,3
👜,1
🌨,1
🎮,9
💃,8
✨,531
🤳,1
👑,5
🥇,4
<built-in function sum>,2683
🚫,3
🏎,16
💀,2
🔝,1
🍖,3
👍,13
💼,2
✊,4
👕,3
🤞,2
📝,1
⛸,1
🛌,3
👦,6
🌔,1
😊,1
✌,128
📱,4
🐶,1
🧚,3
🏫,1
👽,2
👱,35
⤴,5
🥈,1
💨,6
😃,7
🖤,68
🌆,1
🧐,3
💘,1
🌈,26
㊗,2
🎥,12
🌓,1
🕴,1
📸,3
❄,8
🐫,1
👿,4
🌞,35
📚,2
⛔,2
🌴,7
⚽,1
🔴,6
🆗,2
🌤,1
🌚,1
🤝,1
💤,4
🐨,1
☺,11
🏝,5
🏋,1
🙌,29
🏮,1
⬆,2
🌿,1
🐉,1
❇,1
👔,3
💚,4
🔞,1
💯,3
