emoji,count
🍺,2
✈,14
😍,48
🎪,1
🌉,1
💓,3
🌸,1
♂,2
🤓,1
✝,1
🏰,2
🎩,2
🍰,1
🌲,3
🐛,1
💗,2
<built-in function sum>,776
👓,3
😘,2
🦇,2
👫,1
🐢,4
😄,7
🤒,1
💞,1
🍄,1
🚋,1
🙋,3
🎵,2
🎂,4
🙏,4
🍱,2
👌,2
🎣,1
🎤,6
🐕,1
💍,2
😜,1
👏,3
🎭,2
🎁,1
🗿,1
👄,1
👐,3
♀,1
🍻,1
🙃,1
🔥,2
🕺,3
🐙,1
🎉,17
👺,1
😚,37
👀,5
🤡,9
💧,1
🎃,1
☔,1
😭,32
⌚,1
😡,6
🤗,1
☀,1
☂,3
💰,1
🐔,2
⁉,1
🎈,1
🙄,3
🐋,1
🎊,2
👣,4
👊,1
🎠,2
😢,49
📸,2
😓,1
💅,1
👹,2
😈,1
🌳,2
💪,1
🎍,2
💕,11
🍦,1
📽,1
🐟,3
😁,3
❔,1
😬,1
🍜,2
🌝,1
🦁,1
🗽,1
🎀,1
🚃,2
❗,2
🍙,2
❤,3
🙈,1
😱,2
😗,13
👯,1
💇,1
👟,1
😏,9
🏂,1
🍑,1
😷,4
😵,4
🍛,2
🚅,4
😇,1
😂,13
🏃,1
👬,1
👁,1
😠,1
🤤,1
😎,71
🌟,1
🍳,1
😉,3
🙇,1
💫,1
👾,3
🍸,1
🤐,1
🎸,7
👽,2
‼,7
💜,1
🤔,2
✨,12
🤷,1
📀,1
💃,5
♠,1
😞,1
😲,1
😌,5
♥,4
😙,1
💀,1
🍖,1
👍,8
🐠,1
👕,1
😋,3
✍,2
🔪,2
😪,3
😊,67
🏊,2
🖍,5
🚐,1
⤴,4
💬,1
⚫,1
😤,1
🌈,2
🐩,2
😳,31
🐼,1
🎥,1
🕴,2
🎼,3
🍽,1
🙀,3
🦉,1
🐈,1
👝,1
😆,4
💤,1
🌙,1
☺,25
🚌,1
🏋,2
🙌,2
🏮,1
😛,1
🏥,1
