emoji,count
🎙,1
✈,27
😍,85
💓,8
🎹,2
🏝,3
🌸,6
🗼,2
♂,25
🤜,3
🤓,4
🔉,1
🖐,27
🤩,2
🤗,4
🥽,1
💏,2
🍾,5
💗,3
<built-in function sum>,5181
👍,1033
💒,1
🍊,1
💿,2
🎅,5
💦,50
🌧,1
🐢,1
🍜,7
🎤,38
🙆,4
🎄,11
🐂,1
🍓,6
🥩,1
😄,30
😋,27
⚡,1
🖋,1
🤚,1
💞,2
📺,7
🥓,1
😑,1
🙋,18
🍷,1
🎵,8
🎂,18
⭐,14
🙏,340
🌒,2
👖,1
🙊,2
👌,7
♦,1
🦁,1
💥,3
🍪,1
📷,8
💍,1
😜,10
👏,23
🙉,1
🎁,6
🐎,1
😴,17
🤭,11
🍎,2
🚗,2
🍗,1
🎫,1
😩,3
🗻,1
🔥,43
❗,13
🎉,13
🌭,1
💡,3
⬇,3
🎬,1
😚,2
🌺,1
👀,4
🎩,1
😝,142
😭,29
💝,1
⌚,2
🤲,1
🤵,1
👧,1
🤔,3
🚚,1
🎥,2
🍍,1
🐒,1
☀,41
📹,2
☂,1
🍞,3
⁉,2
🌀,4
❓,28
😎,11
📗,1
😧,2
🤣,4
🥝,1
🙄,3
🤴,1
☕,6
🔵,1
🎊,1
👆,1
🍌,2
🤫,2
🙇,9
😁,43
😈,1
✏,1
👟,6
💪,104
🏆,4
🎍,3
◾,2
🌓,2
🍻,3
🥖,4
👇,8
😀,1
🔊,10
😬,2
⛩,1
🛌,1
👑,1
🧢,1
🎆,4
🥤,1
🚃,1
🌙,3
🚄,2
❤,30
🙈,118
😱,1
👯,2
🚅,9
☁,4
💕,37
🥰,1
😷,2
😵,8
🍛,3
👈,3
🍋,1
😇,1
🔌,1
🏃,3
😂,29
👊,89
🎻,2
🛁,3
💨,44
🐍,1
🌟,8
🔄,2
😉,11
🥥,1
🚶,2
😢,6
🍹,1
⚾,25
🍴,7
😏,1
👽,1
‼,184
🕺,2
💜,8
🎎,1
👎,1
🥂,3
😅,20
📻,2
🎮,1
📣,1
➡,2
💋,1
😲,1
🕶,1
😌,13
♥,5
😙,1
✨,1342
🚌,3
🎸,1
🌕,1
😘,21
💑,1
⚠,1
👕,2
◼,1
🙌,19
😫,2
😪,2
😊,80
🎓,1
⚽,41
🍺,6
🙅,9
📱,3
🐶,2
⚫,1
💙,1
✋,7
👦,1
🍶,1
🥁,3
🌈,3
🕗,1
㊗,3
⛄,1
✂,4
🍽,2
🤙,73
❄,6
🚙,1
👐,3
💭,4
👰,1
🌴,27
✌,72
🏊,1
😆,83
💤,27
㊙,2
☺,13
👨,1
🎶,11
🏋,1
👼,1
🌞,1
😃,3
😛,3
♨,9
✖,1
🍲,6
☔,3
💚,4
