emoji,count
🧺,1
🌴,6
😜,12
🤧,1
🌪,1
⛪,1
🍅,1
😥,1
😑,11
🙁,1
⚫,5
💥,7
📽,1
🎃,9
🚌,1
👟,5
🍞,1
👧,5
🎶,63
🧐,2
👎,2
💎,11
💨,5
😲,1
😐,4
🐫,1
😞,1
💰,1
✋,1
👀,24
🃏,1
🙆,2
🚩,2
📲,1
💄,11
🚦,1
🖊,1
🐌,1
🎉,20
♀,50
😶,3
🌹,6
▪,4
🗳,1
🦀,2
☑,4
☝,16
💿,1
💕,10
🏝,1
🎂,15
♂,12
👐,1
🏃,1
😵,2
⚪,5
💊,1
🎧,7
😍,31
🐽,1
🐸,3
🤝,6
🤷,33
🏎,2
👊,16
👗,3
👕,1
😊,2
😘,10
👃,3
🆙,1
🐰,2
🤠,1
🎄,17
🍴,1
🧠,1
🚍,1
🍎,3
🎭,1
😈,5
😎,7
📝,1
💍,1
📷,2
🎙,1
🔥,48
😯,1
👸,1
🌼,3
👆,1
▶,1
🎣,9
🌏,2
🚀,8
💚,16
🦅,1
🍽,2
🌈,13
⤵,13
🎅,14
👻,2
👍,7
💯,5
⬇,7
🧸,2
🐴,2
❗,198
👑,15
🐋,2
🙍,3
🎱,1
👵,3
🍑,4
🎲,7
😌,1
🐢,1
🎁,9
🥕,3
🤦,13
😫,1
♏,4
☕,3
💞,9
🌮,3
🕺,3
🎟,29
👣,9
🍁,1
🍓,10
🏈,3
👅,1
☺,2
🎢,5
🎤,42
🌟,12
🌺,6
🛵,1
🐯,6
🚨,24
👌,3
🏍,1
🍺,1
👈,1
😅,1
🔹,2
💅,38
🌙,1
♦,2
🙈,2
🐝,3
‼,9
™,1
🥝,2
🎨,4
🐄,3
🐣,5
📰,1
⬆,2
🤡,5
🌊,4
▫,4
🐑,1
🎊,1
🙋,8
🤶,1
☔,1
🔴,2
🤢,3
💗,5
🎵,7
⛄,1
🅰,1
🙀,1
🏓,1
🤪,3
😛,8
🐠,2
🌛,1
♥,16
⛓,12
🙂,1
🥒,1
💬,1
🍫,2
➕,1
🍷,5
💪,22
🦁,3
👽,3
🙇,2
🐹,1
💋,25
🌝,2
👠,17
📐,1
🎥,3
🚃,1
🔦,1
🏀,13
🌍,1
😴,3
🧙,2
😢,1
📱,1
🍬,3
👏,76
🖖,2
🥛,3
🎹,3
🔮,1
🐨,4
🎼,2
🧡,8
🥁,2
🕊,3
🙌,49
🗽,1
💀,5
🎡,4
🌳,2
😒,1
💙,19
🚲,2
🌞,5
❣,2
😉,5
✈,4
✂,2
🚗,2
🐇,1
🦃,3
👇,8
🍾,1
👖,1
🔜,4
✅,8
🎈,3
🚮,1
❤,235
👢,2
📞,4
🤔,12
😕,1
🕶,2
🍀,4
💜,8
⌚,3
😮,2
👦,1
👋,14
🥜,1
🤣,1
🐞,1
🍿,8
🔪,2
📺,7
✊,2
📓,2
👫,1
🐟,1
🍗,1
🍇,2
🍸,1
😀,1
🚕,1
🏠,1
👯,5
🦋,2
✨,117
🎫,3
🌱,7
🥀,3
😤,2
🔟,2
🌻,2
🖐,2
💁,47
🌬,4
🙄,9
📸,36
🍔,4
💸,3
👂,5
🌲,2
🍌,2
💖,5
🥔,1
❄,1
🍖,2
📦,1
🚙,1
❓,9
🍝,9
🚧,1
🐾,1
📚,3
🚁,1
🐪,1
⭐,4
🥐,3
😬,9
😻,12
💣,3
🏺,2
📈,2
🙏,42
💦,4
🙃,10
💆,3
🐙,1
⚾,1
🍒,57
🥂,1
🔈,1
🎀,4
⁉,16
💳,6
🤯,2
🍳,2
🐥,1
🐐,2
👩,12
🍕,5
😩,33
🗝,1
😔,20
✏,1
🐼,1
👨,1
✌,20
⛑,1
⏰,1
😳,13
💔,8
🐭,1
☀,5
👼,6
🕵,2
😏,1
🔷,1
📣,2
😇,3
☄,2
🍈,1
🤘,5
🙅,5
😽,2
💛,16
🧷,1
⚡,15
🧀,3
🎇,2
🔑,2
🍉,1
🤸,2
💌,2
💇,3
🌶,1
🤗,15
😱,14
💘,24
☹,2
🐜,1
📹,5
✍,2
🍯,1
🌷,2
💩,4
🕓,1
🌵,3
😭,19
🍊,3
🌎,12
🐶,18
👱,1
<built-in function sum>,3071
➡,6
♠,2
🏆,6
📢,7
🌅,5
🎸,4
🌸,9
🎮,1
💃,7
🍪,3
💫,3
🦄,1
👉,3
⛵,1
🌭,2
🤐,1
🔬,1
😂,5
🌿,1
🥰,2
👁,148
😝,6
✔,14
👄,2
🌚,3
⚜,1
🍋,4
⏳,2
🐛,1
🤚,1
💧,5
🖤,8
🍭,1
👡,2
🤤,2
🍹,1
🤖,7
🥞,2
🆘,1
🌀,2
🥥,1
🎠,4
🎆,5
🙊,1
🍐,1
😷,1
👶,6
